ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
03N,small_airport,Utirik Airport,11.22200012,169.852005,4,OC,MH,MH-UTI,Utirik Island,03N,UTK,03N
0CO2,small_airport,Buckhorn Ranch Airport,38.85189819,-106.93282,8980,NA,US,US-CO,Crested Butte,0CO2,CSE,0CO2
0TE7,small_airport,LBJ Ranch Airport,30.25180054,-98.62249756,1515,NA,US,US-TX,Johnson City,0TE7,JCY,0TE7
13MA,small_airport,Metropolitan Airport,42.22330093,-72.31140137,418,NA,US,US-MA,Palmer,13MA,PMX,13MA
13Z,seaplane_base,Loring Seaplane Base,55.60129929,-131.6369934,0,NA,US,US-AK,Loring,13Z,WLR,13Z
16A,small_airport,Nunapitchuk Airport,60.90579987,-162.4389954,12,NA,US,US-AK,Nunapitchuk,16A,NUP,16A
19AK,small_airport,Icy Bay Airport,59.96900177,-141.6620026,50,NA,US,US-AK,Icy Bay,19AK,ICY,19AK
1KC,small_airport,Kalakaket Creek AS Airport,64.4166257,-156.8203926,1598,NA,US,US-AK,Kalakaket Creek,1KC,KKK,1KC
2AK,small_airport,Lime Village Airport,61.35910034,-155.4400024,552,NA,US,US-AK,Lime Village,2AK,LVD,2AK
2AK3,heliport,Five Finger CG Heliport,57.26990128,-133.6309967,48,NA,US,US-AK,Five Finger,2AK3,FIV,2AK3
2AK6,small_airport,Hog River Airport,66.2161026,-155.6690063,534,NA,US,US-AK,Hogatza,2AK6,HGZ,2AK6
2Z6,seaplane_base,False Island Seaplane Base,57.53219986,-135.2129974,,NA,US,US-AK,False Island,2Z6,FAK,2Z6
38WA,small_airport,Blakely Island Airport,48.57899857,-122.8259964,66,NA,US,US-WA,Blakely Island,38WA,BYW,38WA
3AK5,small_airport,Drift River Airport,60.58890152,-152.1620026,30,NA,US,US-AK,Kenai,3AK5,DRF,3AK5
3IS8,small_airport,Rinkenberger Restricted Landing Area,41.23089981,-89.61569977,808,NA,US,US-IL,Bradford,3IS8,BDF,3IS8
3Z8,seaplane_base,Golden Horn Lodge Seaplane Base,59.74700165,-158.875,91,NA,US,US-AK,Golden Horn Lodge,3Z8,GDH,3Z8
4A2,small_airport,Atmautluak Airport,60.86669922,-162.272995,17,NA,US,US-AK,Atmautluak,4A2,ATT,4A2
4AK,small_airport,Livengood Camp Airport,65.467,-148.6534,425,NA,US,US-AK,Livengood,4AK,LIV,4AK
4K0,small_airport,Pedro Bay Airport,59.78960037,-154.1239929,45,NA,US,US-AK,Pedro Bay,4K0,PDB,4K0
4K5,small_airport,Ouzinkie Airport,57.92290115,-152.5010071,55,NA,US,US-AK,Ouzinkie,4K5,KOZ,4K5
4TE8,closed,Ben Bruce Memorial Airpark,30.32099915,-94.07350159,44,NA,US,US-TX,Evadale,4TE8,EVA,4TE8
4W6,closed,Blaine Municipal Airport,48.99010086,-122.7320023,75,NA,US,US-WA,Blaine,4W6,BWS,4W6
4Z7,seaplane_base,Hyder Seaplane Base,55.9033244,-130.0099754,,NA,US,US-AK,Hyder,4Z7,WHD,4Z7
57A,seaplane_base,Tokeen Seaplane Base,55.93709946,-133.3269959,,NA,US,US-AK,Tokeen,57A,TKI,57A
5A8,medium_airport,Aleknagik / New Airport,59.2826004,-158.6179962,66,NA,US,US-AK,Aleknagik,5A8,WKK,5A8
5KE,seaplane_base,Ketchikan Harbor Seaplane Base,55.34989929,-131.677002,0,NA,US,US-AK,Ketchikan,5KE,WFB,5KE
65GA,closed,Fort Gillem Heliport,33.61500168,-84.3463974,966,NA,US,US-GA,Fort Gillem,65GA,FOP,65GA
65LA,small_airport,Southern Seaplane Airport,29.86610031,-90.02220154,,NA,US,US-LA,Belle Chasse,65LA,BCS,65LA
6CA3,heliport,Catalina Air-Sea Terminal Heliport,33.74919891,-118.2750015,5,NA,US,US-CA,San Pedro,6CA3,SPQ,6CA3
6N5,heliport,East 34th Street Heliport,40.74259949,-73.9720993,10,NA,US,US-NY,New York,6N5,TSS,6N5
6N7,seaplane_base,New York Skyports Inc Seaplane Base,40.73400116,-73.97290039,0,NA,US,US-NY,New York,6N7,QNY,6N7
6OK6,small_airport,Earl Henry Airport,36.79589844,-97.31700134,1054,NA,US,US-OK,Blackwell,6OK6,BWL,6OK6
78K,seaplane_base,Yes Bay Lodge Seaplane Base,55.91630173,-131.8009949,,NA,US,US-AK,Yes Bay,78K,WYB,78K
78WA,small_airport,Center Island Airport,48.49010086,-122.8320007,115,NA,US,US-WA,Center Island,78WA,CWS,78WA
7KA,small_airport,Tatitlek Airport,60.8689003,-146.6860046,62,NA,US,US-AK,Tatitlek,,TEK,7KA
7NC2,small_airport,Pine Island Airport,36.25350189,-75.78849792,16,NA,US,US-NC,Corolla,7NC2,DUF,7NC2
82CL,small_airport,Fort Bragg Airport,39.47430038,-123.7959976,71,NA,US,US-CA,Fort Bragg,82CL,FOB,82CL
